,name,Max диаметр сверления (металл),Max диаметр шурупа,Max крутящий момент ,Max размер крепежа,amount_of_reviews,description,Вес нетто,Длина кабеля,Зарядное устройство в комплекте,Количество аккумуляторов в комплекте,Мах диаметр сверления (бетон),Мах диаметр сверления (дерево),Мах диаметр сверления (кирпич),Мощность,Напряжение аккумулятора,Посадочный квадрат,Регулировка глубины завинчивания,Регулировка частоты вращения,Серия аккумулятора,Тип аккумулятора,Тип двигателя,Тип патрона,Упаковка,Частота вращения шпинделя
322,Бесщеточная дрель-шуруповерт Dewalt 20 В XR 2 АКБ XR Li-Ion DCD800D2T,13 мм,,,,,Max крутящий момент : 90 Нм,4.5 кг,,есть,,,55 мм,,,20 В,,,,,Li-Ion,,,,
323,"Аккумуляторная дрель-шуруповерт WORTEN 1АКБ, 12В, 1,5 Ач 32Hm КА-90000328",,,32 Нм,,23,Мобильность и удобство перемещения во время ремонта и сбора мебели,1 кг,,есть,,,,,,12 В,,,,,Li-Ion,,,,
324,"Дрель-шуруповерт аккумуляторная ударная бесщеточная DKCID20, без АКБ и з/у DEKO 063-4456",13 мм,,80 Нм,,8,,1.24 кг,,нет,,,50 мм,,,20 В,,,,,Li-Ion,,,,
325,"Аккумуляторная дрель-шуруповерт Patriot BR 369Li, две АКБ Li-Ion, 12В, 2,0 Ач, 35Нм, 180201369",10 мм,,35 Нм,,9,,0.9 кг,,есть,,,25 мм,,,12 В,,,,,Li-Ion,,,,
326,Ударная дрель-шуруповерт Ryobi ONE+ R18PD2-220S 5133004459,10 мм,,40 Нм,,9,Бесключевой патрон способствует быстрой и простой замене оснастки,1.45 кг,,есть,,,32 мм,10 мм,,18 В,,,,,Li-Ion,,,,
327,Ударный аккумуляторный шуруповерт Makita LXT 18В DTD153SY,,,170 Нм,,5,,1.3 кг,,есть,,,,,,18 В,,,,,Li-Ion,,,,
328,Аккумуляторная дрель-шуруповерт Sturm CD3224L,10 мм,,35 Нм,,41,,2.9 кг,,есть,,,20 мм,,,24 В,,,,,Li-Ion,,,,
329,"Бесщеточная аккумуляторная дрель-шуруповерт Интерскол ДА-10/18В 44 МиниМАКС Li-ion АПИ кейс, 2 аккум. 2,5Ач, ЗУ 759.2.2.45",10 мм,,44 Нм,,12,,1.16 кг,,есть,,,30 мм,,,18 В,,,,,Li-Ion,,,,
330,Ударная дрель-шуруповерт Ryobi ONE+ R18PD3-242S 5133003820,13 мм,,50 Нм,,7,Продуктивная работа без перерывов с 2 аккумуляторами в комплекте,1.7 кг,,есть,,,38 мм,13 мм,,18 В,,,,,Li-Ion,,,,
331,"Дрель аккумуляторная Спец БДА-21-Б, (бесщеточный двигатель),21В,2аккум *2,0Ач, Ли-Ион, 0-450/0-1500об/мин,60Нм,реверс,21+1,рег..момента,металл.патрон 10мм,блок.шпинделя,инд.батареи,подсведка,зарядка 4ч,кейс, цв.кор СПЕЦ-4131",10 мм,,60 Нм,,7,,,,есть,,,30 мм,,,21 В,,,,,Li-Ion,,,,
332,"Дрель-шуруповерт аккумуляторная бесщеточная DEKO Sharker 20V, 20В, без АКБ и з/у 063-4455",10 мм,,55 Нм,,24,,0.86 кг,,нет,,,25 мм,,,20 В,,,,,Li-Ion,,,,
333,"Аккумуляторная дрель-шуруповерт DEKO Loner 20V, 20В, 1x3.0Ач 085-1006",10 мм,,45 Нм,,7,Металлический патрон и аккумулятор повышенной емкости 3 Ач,1.32 кг,,есть,,,25 мм,,,20 В,,,,,Li-Ion,,,,
334,Сетевая дрель-шуруповерт Hanskonner HID2145P,10 мм,,50 Нм,,88,,1.7 кг,4 м,,,,20 мм,,450 Вт,,,нет,,,,,,,0-400/0-1500 об/мин
335,Аккумуляторная дрель-шуруповерт Einhell TE-CD 18 Li-i BL 4513861,,,60 Нм,,26,Аккумуляторная ударная дрель-шуруповерт Einhell TE-CD 18 Li-i BL 4513861,1.69 кг,,есть,,,,,,18 В,,,,,Li-Ion,,,,
